Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Dominican Republic,DOM,GDP (current US$),NY.GDP.MKTP.CD,672399700.00,654100200.00,824100000.00,940799900.00,1025599900.00,888100000.00,983900000.00,1034800000.00,1079100000.00,1230500000.00,1485500000.00,1666500000.00,1987400000.00,2344800000.00,2925700000.00,3599200000.00,3951500000.00,4587100000.00,4734400000.00,5498800000.00,6761300000.00,7561300000.00,8267400000.00,9220600000.00,11594000000.00,5044592944.80,6122198120.03,5826987099.46,5374314928.43,6686593059.94,7073675544.81,9824498183.03,11605382504.00,13081042400.00,14644711384.82,16637370839.16,18241691857.35,20017480054.83,21672231760.65,22136621337.09,24305717541.64,25601765400.52,27137508656.85,21403167848.14,22322395368.03,35777570135.52,37879869897.90,43965420072.41,48122547177.19,48261033298.21,53860175556.00,58029750745.65,60681537195.80,62682163837.35,67179914026.96,71164825256.68,75704720189.56,79997975621.87,85555378042.82,88941299733.50,78844702329.08
Guatemala,GTM,GDP (current US$),NY.GDP.MKTP.CD,1043599900.00,1076699900.00,1143600000.00,1262800000.00,1299099900.00,1331399900.00,1390700000.00,1453500000.00,1610500000.00,1715399900.00,1904000000.00,1984800000.00,2101300000.00,2569200100.00,3161499900.00,3645900000.00,4365300200.00,5480500200.00,6070600200.00,6902600200.00,7878700000.00,8607500300.00,8716999700.00,9050000400.00,9470000100.00,9721652086.96,7231963515.98,7084399840.00,7841602824.43,8410724360.80,7650125217.35,9406097735.09,10440842165.32,11399942453.06,12983235568.23,14655404433.28,15674835615.31,17790026221.61,19395491992.99,18318412251.36,19288827158.90,18405203853.10,20444205991.03,21576351798.91,23577286226.64,26783543667.06,29744368110.91,33567868322.63,38503862830.69,37125943564.99,40676432028.59,46876114650.50,49593961141.75,52996540703.59,57852399963.79,62186186575.74,66053725049.01,71654134378.53,73208583758.91,77020015201.32,77604632170.59
Luxembourg,LUX,GDP (current US$),NY.GDP.MKTP.CD,703925705.94,704145671.35,741509480.80,791140595.77,903158753.94,921600736.30,968440149.47,974721762.54,1066447130.82,1234878980.50,1457768455.02,1518773421.38,1901697369.63,2609875802.11,3183637116.82,3123333333.33,3423586206.90,3789321328.08,4718539772.00,5516982663.73,6019805490.41,5053665797.48,4602316793.22,4524217751.48,4438435492.88,4577211767.10,6685595087.59,8320902215.02,9418167855.18,10037674037.67,12778792853.69,13834219728.29,15518702634.88,15925521222.01,17701798890.76,20853093869.73,20895314657.98,19563836265.22,20150053345.19,21891923076.92,21177470978.44,21369028187.92,23537637869.38,29601904063.21,35000480506.58,37658234050.49,42874225316.77,51521903914.59,58604890874.47,54252213114.75,56159192758.33,61615545000.36,59779802783.35,65184744717.03,68713294386.21,60047430684.26,62174650367.22,65549868206.94,71250208995.64,70195715495.51,73353132793.71
Bulgaria,BGR,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,19839230769.23,19870000000.00,19342000000.00,16563666666.67,17594944444.44,17155421052.63,20249294117.65,28101000000.00,22555941176.47,21988444444.44,20632090909.09,10943548387.10,10350515463.92,10829710144.93,9697416974.17,18983303571.43,12294221472.74,11315986087.16,15030695296.52,13627323284.54,13245833843.55,14183497963.11,16402846413.10,21144983551.68,26157894736.84,29869283400.04,34379808888.60,44405101469.56,54438966419.86,52023504656.29,50682061053.20,57678241023.82,54300857424.44,55810138436.48,57082011260.34,50781996712.76,53953897624.43,59199447421.49,66363422450.21,68915416141.96,69889347433.43
Ghana,GHA,GDP (current US$),NY.GDP.MKTP.CD,1217230038.27,1302674264.20,1382515590.07,1540797516.79,1731296118.87,2053462872.38,2126300573.18,1747187539.21,1666910166.29,1962051319.26,2215029450.38,2417107708.25,2112292944.64,2465492957.75,2894409937.89,2810106382.98,2765254237.29,3189428571.43,3662478184.99,4020227920.23,4445228215.77,4222441614.97,4035994397.76,4057275042.83,4412279843.44,4504342149.43,5727602644.71,5074829931.97,5197840979.13,5251764264.27,5889174825.49,6596546195.65,6413901601.83,5966255778.12,5444560669.46,6465137614.68,6934984709.48,6891308593.75,7480968858.13,7719354838.71,4983024408.15,5314909953.93,6166330136.29,7632406552.84,8881368538.08,10744675209.90,20440893017.16,24827844949.60,28678701891.10,26048108185.05,32197272797.20,39337314809.94,41270954737.25,62823043706.47,54782847752.54,49406568432.67,56165172898.87,60406382898.52,67299280679.56,68337537815.77,68532281805.67
Caribbean small states,CSS,GDP (current US$),NY.GDP.MKTP.CD,1880306125.09,2038301741.02,2153895647.51,2290313587.94,2470264539.68,2660946063.37,2888647977.98,3102515476.19,3083590686.78,3359706536.47,3695257613.12,4017606922.60,4639299319.34,5076285827.67,6595605182.85,7706760555.18,7932122920.87,9210482685.93,9433651129.17,10835423670.31,13495267729.83,14890317367.74,16517827316.88,16735576444.12,15982827316.95,15814747522.74,14441278727.64,15521747479.82,16459864446.85,16872897190.70,18011678551.94,17878504938.87,17575413724.32,19033356757.93,20014967686.79,22072783645.71,24081792638.74,28202808369.14,30129171334.46,31944649112.50,34218221460.82,35249133311.46,36990732762.22,39545920854.25,43259612457.54,48918948093.72,55671360538.35,61875369659.88,70340114413.43,59411440870.43,64524447018.31,69668271732.91,72051115323.80,73345409463.91,74470922980.34,73243299833.00,69598702057.87,71693634217.05,75312833438.18,76173669481.14,66039332389.29
Oman,OMN,GDP (current US$),NY.GDP.MKTP.CD,,,,,,63287594.51,67768132.18,107152720.24,188864890.81,239980801.54,256299496.04,301010587.10,366857738.41,483033932.14,1645917776.49,2096699189.35,2560220034.74,2741169947.89,2740301389.69,3733352634.63,5981760277.94,7259120150.55,7554719455.70,7932541690.79,8821366531.56,10005500579.04,7323822251.31,7811183094.93,8386215864.76,9372171651.50,11685045513.65,11341482444.73,12452275682.70,12493107932.38,12918855656.70,13802600780.23,15277763329.00,15837451235.37,13996914596.14,15593456122.49,19507452508.07,19452000475.62,20142756174.72,21633708220.01,24763713000.60,31081991724.79,37215779655.59,42085379489.05,60905452457.93,48388363516.43,56913065779.26,67871907375.45,76511069704.32,78555622509.27,80686929102.19,68420257566.60,65441278668.29,70585606843.78,79788768968.95,76331518668.58,64648393044.39
Tanzania,TZA,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5100405772.46,4420168102.39,4258743262.83,4956588278.56,4601413263.53,4257702196.54,4510846967.87,5255221424.81,6496195450.61,7683852496.84,12270448700.20,12711213451.03,13375976353.70,13581644245.74,14142035080.28,15224257698.48,16675948414.76,18399046025.27,18649590248.26,21843529024.92,27941177434.51,29081425282.29,32014249841.42,34657139495.40,39650530214.33,45680532613.76,49964788814.09,47378599025.30,49774021003.07,53320625958.56,57003713610.76,61136873692.40,62409709110.95
Costa Rica,CRI,GDP (current US$),NY.GDP.MKTP.CD,507513829.99,490325181.61,479180824.35,511902136.81,542578367.24,592981162.26,647305630.19,699456618.87,773841494.34,853630203.77,984830158.49,1077152902.29,1238251695.55,1528916185.23,1666544754.10,1960863465.58,2412555425.90,3072427012.84,3523208809.80,4035519323.22,4831447001.17,2623807074.29,2606621255.02,3146770103.81,3660476458.87,3919203960.40,4418983870.97,4532952047.16,4614629898.40,5251025767.48,5711687786.76,7196276092.47,8564044016.96,9582866263.46,10486784804.73,11578594260.08,11678424507.36,12614602382.36,13684255946.69,14254866281.06,15013629658.57,15976174337.05,16578820687.22,17271760507.04,18610594846.31,20040642476.90,22715540324.31,26884700345.10,30801744881.02,30745712006.52,37658614803.29,42762617081.61,47231651862.82,50949672205.82,52016408950.84,56441917653.02,58847016044.82,60516043590.19,62420165099.73,64072870931.60,61846895120.78
Cote d'Ivoire,CIV,GDP (current US$),NY.GDP.MKTP.CD,546203561.57,618245639.22,645284344.68,761047045.83,921063266.45,919771356.43,1024103034.29,1082922892.15,1281281245.67,1361360157.27,1455482990.24,1584128262.09,1849400599.78,2508421234.86,3070151901.06,3893839190.27,4662053707.78,6265067857.87,7900524897.86,9142935857.95,10175615441.81,8432588483.85,7567109766.61,6838185418.54,6841638714.55,6977650069.34,9158302205.36,10087653189.33,10255170459.99,9757410614.08,10795850106.95,10492628915.49,11152971316.07,11045759468.94,8313557450.25,11000146839.50,18071153890.45,18047557171.79,19619653924.34,18870992455.71,16577533355.37,16810536883.76,18054384023.12,21251755294.03,23510577108.19,24036917016.53,25281414472.90,28760092034.54,34078243426.02,33886814907.05,34936305296.88,36693712824.78,36302305578.31,42760237561.40,35363533865.73,45814637971.47,47964234560.05,51588158717.53,58011466450.86,58539424929.72,61348579465.10
Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21650000000.00,,,,17793000000.00,13489222222.22,14756846153.85,14108846153.85,15264369565.22,12152867469.88,12738912133.89,12354820143.88,14594249022.89,17827791321.31,23144351851.85,30207567316.62,36954312354.31,45277399813.61,60763483146.07,50874078052.27,57222490768.71,61757788944.72,65685102554.88,75527984234.23,78813839984.35,56454734396.58,47722657820.67,54726595249.18,60031262269.34,64409647193.80,60258239055.58
Uzbekistan,UZB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13360607917.88,13677622222.22,12941297376.09,13099013835.51,12899156990.62,13350468917.41,13948892215.57,14744603773.58,14988971210.84,17078465982.03,13760513969.31,11401421329.20,9687788512.80,10134453435.46,12030023547.88,14307509838.81,17330833852.92,22311393927.88,29549438883.83,33689223673.26,49765676402.45,60178909297.21,67517349212.06,73180036692.33,80845384375.12,86196265191.66,86138288615.12,62081323299.03,52633143808.18,59907674027.47,59929951114.36
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,5934073603.55,5553824463.82,5553824463.82,5787823808.70,6135166254.24,7558613007.91,7076793822.60,8089279284.72,8775116269.17,10207922517.18,11236275842.74,,,,3390500000.00,5561222222.22,7526963963.96,7649716157.21,6506619144.60,6152936539.22,9129634978.34,8936063723.20,15285594828.42,17812705294.33,23552052407.55,36970918699.25,52381006892.04,65266452081.39,88538611205.14,70307163678.24,83799496611.20,111789686464.44,128052853643.11,136709862831.19,145712200312.51,116193649124.15,101123851090.46,122123822333.59,101353230784.59,89417190341.25,58375976292.97
Croatia,HRV,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22717081924.71,24075166261.38,24091170702.56,25792876643.51,23677307509.47,21839780971.03,23273640257.20,27074550257.81,34985749883.42,41958833541.10,45780237257.19,50860788253.22,60542673502.53,70750646248.06,63084004705.08,60426018629.30,63169910822.13,57192346923.34,58889082315.34,58330289756.69,50163192883.15,52295158344.25,56214427431.20,62247874948.82,62246206340.55,57203783203.03
Lithuania,LTU,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7867140395.34,8382519637.46,10118631851.53,11239547690.98,10971583944.76,11524776866.64,12237388001.73,14259781159.01,18781721376.20,22627507451.56,26097677571.84,30183575103.53,39697891351.94,47797551587.88,37388122046.15,37128694028.24,43535051482.39,42927454291.48,46523420074.44,48533659592.17,41418872976.12,43018087237.57,47640770634.43,53724663842.56,54697379017.33,56546957475.49
Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,537147100.00,599026300.00,652120900.00,722784500.00,776137500.00,852485300.00,928833000.00,1034376400.00,1112791100.00,1221305700.00,1351006400.00,1523917200.00,1673411700.00,1913793400.00,2188307600.00,2435304100.00,2588106000.00,2738261900.00,3244558600.00,3704551600.00,4614086400.00,5222421500.00,5769767900.00,5923755900.00,6183387100.00,6541517100.00,6797834200.00,6827665300.00,5902783400.00,5918469800.00,6433967000.00,7074675500.00,8042337700.00,8782585400.00,9365289800.00,9573813700.00,9870494000.00,10677286100.00,11575486400.00,12130252200.00,12304115000.00,12502013400.00,12994310400.00,13693981200.00,15013381700.00,16374393900.00,18141666300.00,21295984230.26,25155888616.32,27116635565.17,29440287581.27,34686224301.18,40429734384.22,45599994004.89,49921464365.32,54091713775.56,57907695408.94,62202725204.46,64929409212.46,66984427150.32,53977036995.17
Uruguay,URY,GDP (current US$),NY.GDP.MKTP.CD,1242289239.20,1547388781.43,1710004407.23,1539681490.78,1975701816.47,1890769326.14,1809183974.53,1597721080.01,1593675330.16,2004435483.87,2137096774.19,2807258064.52,2189418001.38,3964295672.52,4090209681.97,3538283322.08,3667161241.48,4114667062.65,4910257282.93,7181185277.99,10163020115.73,11048335541.49,9178802162.66,5102281256.00,4850241442.18,4732017873.38,5880112788.41,7367494080.40,8213515458.51,8438951476.07,9298839655.23,11205971155.28,12878199880.98,15002106518.48,17474647792.38,19297663096.55,20515543039.21,23969823010.44,25385928188.77,23983945190.62,22823255801.84,20898788416.63,13606494599.43,12045631092.54,13686329890.12,17362857683.85,19579457966.05,23410572634.31,30366213119.29,31660911277.03,40284481651.90,47962439303.72,51264390116.49,57531233350.91,57236013086.12,53274304222.14,57236652490.17,64233966861.25,64515038268.14,61231149880.59,53628827440.36
Slovenia,SVN,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21352224019.41,21507232648.73,20763101740.70,22146231967.69,22711384311.14,20289627636.68,20876309970.39,23489890274.31,29634713641.10,34414784504.24,36206395970.65,39481045038.26,48006372844.24,55552509154.83,50368056404.56,48161250405.25,51516366654.82,46580457470.28,48401896808.31,49930685013.46,43090173394.69,44736333522.45,48469082710.31,54137142149.48,54178877606.00,53589609580.71
Serbia,SRB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16832598870.06,21818007448.79,25676487999.59,19457979423.38,19388663551.00,6875845986.52,12960538723.76,17120906918.35,22482365321.77,26141968161.09,27683225959.25,32482070360.32,43170990616.47,52194221468.50,45162894380.93,41819468691.83,49258136128.97,43309252921.06,48394239474.68,47062206677.65,39655958842.55,40692643373.03,44179055279.89,50640650221.46,51514222381.84,53335016425.41
"Congo, Dem. Rep.",COD,GDP (current US$),NY.GDP.MKTP.CD,3359404117.65,3086746857.14,3779841428.57,6213185742.57,2881545272.73,4043901818.18,4532660181.82,3384063371.76,3909780538.92,5032434970.06,4877684910.18,5594770359.28,6173712814.37,7870239461.08,9596960179.64,10237343173.65,9648583224.99,12344424763.57,15372608002.39,15068422236.37,14394927494.86,12537821038.22,13651667371.17,11006712650.45,7857729193.20,7195042616.01,8095367168.22,7661625472.58,8861299976.74,9021862775.26,9349764580.37,9633911368.02,8227200892.44,10706246370.93,5840529411.76,5647034188.03,5772020526.11,6091061291.31,6215716712.29,4711259427.27,19088046305.80,7438189100.33,8728038525.14,8937567059.88,10297483481.22,11964484667.91,14451902467.93,16737071816.38,19788515873.89,18648373312.42,21565720044.46,25839749198.82,29306235826.39,32679745297.65,35909040265.93,37917704900.08,37134799974.52,38019265625.88,47146004586.68,50400747050.50,48716960860.07
Jordan,JOR,GDP (current US$),NY.GDP.MKTP.CD,,,,,,599831979.84,658078969.48,631755810.70,561187342.48,698963875.67,639596751.61,678241388.97,788574628.96,943700547.78,1197454206.77,1363039399.62,1708734939.76,2096568478.59,2602748691.10,3271728271.73,3910036925.14,4384685230.02,4680567375.89,4920407601.21,4966710013.00,4993829194.12,6401380000.00,6755599113.74,6277197435.21,4220945005.22,4160003917.43,4344250257.01,5311329067.37,5605841535.58,6237739516.24,6727446632.42,6928359238.36,7246188575.46,7912327362.48,8149106064.88,8460424400.56,8975689844.85,9582453032.44,10195660789.84,11411390409.03,12588665303.24,15056929760.23,17110587447.11,22657662392.56,24537876056.34,27133804225.35,29524149154.93,31634561690.14,34454440140.85,36847643521.13,38587017887.32,39892551126.76,41408960845.07,42932112676.06,44502895915.49,43697659295.77
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,446305555.56,1570000000.00,1193312101.91,2417355840.04,3176333837.03,3962238113.16,4446368570.69,4581432038.83,5272798390.70,5707720390.85,6235856819.58,7276753894.72,8680370408.06,13245716099.01,20982986344.30,33050343782.78,48852482960.08,44291490420.50,52909294791.93,65951627200.20,69683935845.21,74164435946.46,75244294275.15,53074370486.04,37867518957.20,40865558912.39,47112941176.47,48174235294.12,42607176470.59
Tunisia,TUN,GDP (current US$),NY.GDP.MKTP.CD,,,,,,991047619.05,1040952380.95,1085714285.71,1214666666.67,1289904761.90,1439238095.24,1685217058.71,2237476420.04,2730787476.28,3545933562.43,4328610489.68,4507929104.48,5109324009.32,5968044209.51,7188191881.92,8744134354.16,8428513568.25,8133401049.60,8350176782.56,8254891864.06,8410185739.96,9018136020.15,9696271268.25,10096292842.15,10102075213.32,12290568181.82,13074782608.70,15497286295.79,14608946896.48,15632463424.28,18030876599.34,19587322786.11,20746360430.42,21803372266.62,22943685719.10,21473261837.02,22066031834.29,23142153759.58,27453007372.91,31183059012.44,32273007553.57,34377310293.01,38914078351.80,44860969077.19,43454935940.16,46206331261.10,48122838144.52,47311196335.29,48683848563.85,50271342086.42,45780069046.66,44360775649.17,42163974956.48,42570270107.11,41804581484.37,41620349986.31
Cameroon,CMR,GDP (current US$),NY.GDP.MKTP.CD,614206071.00,652777613.64,694247725.54,718320701.39,776650126.19,814083378.46,851112662.73,936175404.64,1046191192.44,1100551378.56,1151217146.99,1236941200.95,1498252050.17,1901393216.00,2157415245.73,2857037371.06,2898089929.09,3394663844.43,4662851756.59,5919004206.91,6674567625.08,6610937473.20,6611255018.24,6870200658.94,7311937457.42,8544809794.26,11857056336.03,13049658331.13,12236058143.04,11012566160.50,12314482085.09,11840192674.12,12071775380.65,16181813512.45,8902446188.05,10864773036.84,11093539497.03,10789457915.05,11298144511.64,11565827385.69,10566578952.79,10953485244.42,12417251815.88,15970315751.03,18826215278.06,19509850837.27,20910513974.62,23928251333.74,27715144580.27,27932971683.42,27507499709.07,30630912184.78,30155064574.07,33728622819.09,36386546917.69,32210232911.66,33814337900.28,36098550141.59,39973839064.61,39670977332.73,40804449726.02
Uganda,UGA,GDP (current US$),NY.GDP.MKTP.CD,423008385.74,441524109.01,449012578.62,516147798.74,589056603.77,884873949.58,925770308.12,967647058.82,1037815126.05,1169047619.05,1260084033.61,1417787114.85,1491596638.66,1702521008.40,2100142653.35,2359555555.56,2447300000.00,2936470588.24,2420260869.57,2139025000.00,1244610000.00,1337300000.00,2177500000.00,2240333333.33,3615647477.05,3519666338.52,3923232122.13,6269511614.66,6508931651.67,5276480986.00,4304398865.88,3321729057.12,2857457860.05,3220439044.19,3990430446.71,5755818947.42,6044585326.94,6269333313.17,6584815846.53,5998563257.95,6193246837.10,5840503868.57,6178563590.89,6606884390.78,7939487473.86,9239221858.56,9977647644.70,11902564401.32,14440404021.49,25127805566.43,26673441667.28,27871725205.59,27305915761.28,28915786996.54,32612397758.44,32387183844.66,29203988814.90,30744473911.53,32927025573.43,35353060634.20,37600368180.94
Bolivia,BOL,GDP (current US$),NY.GDP.MKTP.CD,373879363.60,406684585.72,444665186.40,478805990.08,539491477.32,604377104.38,669191919.19,755808080.81,857912457.91,929629629.63,1017003367.00,1095622895.62,1257615644.98,1262968515.74,2100249875.06,2404697651.17,2731984008.00,3227436281.86,3758220889.56,4421343606.18,4526916802.61,5872756933.12,5587490264.81,5422440961.88,6169501037.98,5377277406.72,3958338883.22,4323623622.16,4597615562.67,4715978868.22,4867582620.21,5343274311.57,5643893347.01,5734676560.92,5981244886.92,6715220507.05,7396966657.47,7925673448.41,8497545598.08,8285075872.27,8397912509.10,8141537937.61,7905485216.18,8082364868.39,8773451738.91,9549077869.11,11451869164.71,13120183156.71,16674324634.24,17339992165.24,19649631314.05,23963033430.60,27084497482.86,30659338880.38,32996188012.68,33000198248.34,33941126200.06,37508642165.34,40287647930.48,40895322843.79,36572764862.82
Paraguay,PRY,GDP (current US$),NY.GDP.MKTP.CD,,,,,,443587301.59,465888888.89,492674603.17,517650793.65,556293650.79,594611111.11,664571428.57,769039682.54,995531746.03,1333475396.83,1511420634.92,1698960317.46,2092158730.16,2559857142.86,3416777777.78,4448087301.59,5624515873.02,5419411764.71,5673248726.18,4502462807.06,3282449235.87,3723993942.72,3971044723.80,4255683528.34,4757732199.97,5812114523.03,6984367762.90,7157424031.06,7249533620.31,7870982004.82,9062131475.02,9788391780.52,9965225678.05,9260481572.42,8837070235.52,8855705139.56,8495806432.18,7196260656.85,7691367471.18,9624440836.29,10737500188.11,13429430050.26,17856270473.15,24616537618.23,22355601273.35,27237782849.69,33756238766.50,33296438306.47,38651334287.67,40377987208.69,36211372702.81,36089550659.09,38997129473.56,40225448340.63,37906944074.61,35670301496.11
Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,3072698328.47,3467819148.94,3645744680.85,3735106382.98,3905585106.38,3651861702.13,3052393617.02,3392021010.64,3702393617.02,3863563829.79,4229787234.04,4616223404.26,4751063829.79,5200265957.45,5567553457.45,5849467819.15,6101861436.17,6349202393.62,6183776595.74,6621010372.34,9062898936.17,8976196808.51,9593510638.30,11074813829.79,13150159574.47,15968723404.26,18504760638.30,21730000000.00,25710904255.32,22938218085.11,25713271276.60,28776595744.68,30749308510.64,32539468085.11,33387712765.96,31050638297.87,32234973404.26,35473776595.74,37801462765.96,38652579787.23,34729228723.40
Latvia,LVA,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5789128636.62,5975248851.45,6527926445.68,7166275467.65,7533788133.56,7958852838.93,8362398701.59,9557031605.28,11771975156.81,14435700533.37,17003459863.10,21570076498.62,31054350977.98,35854274228.91,26410909090.91,23956163076.56,27474380566.27,28169902669.38,30204783461.85,31345148670.59,27252128626.63,28064533352.28,30408509601.80,34412210812.28,34308783825.30,33707320816.30
Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,508334413.97,531959561.62,574091101.19,496947904.44,496098775.31,735267082.29,906811943.82,841974025.46,772228643.41,788641965.43,865975308.64,882765471.60,1024098804.94,972101725.00,1217953546.98,1575789254.47,1452792989.11,1382400000.00,1604162497.46,1851250008.33,1945916583.33,2275583316.67,2395429852.43,2447174803.38,2581207387.80,2619913955.52,2850784523.38,2957255379.54,3487009748.36,3525228153.17,3627562402.66,3921476084.89,3401211581.29,3660041666.67,4066775510.20,4401104417.67,4521580381.47,4918691916.54,4856255044.39,5033642384.11,5494252207.91,6007055042.18,6050875806.66,6330473096.54,7273938314.72,8130258041.47,9043715355.89,10325618017.38,12545438605.40,12854985464.08,16002656434.47,21621710002.51,21703106502.49,22162208956.09,22731602969.69,24360795410.16,24524098184.42,28971589213.13,33111525182.71,34186180694.93,33657175561.33
Lebanon,LBN,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3313540067.93,2717998687.71,2838485353.96,4690415092.54,5843579160.90,7941744492.12,9599127049.94,11718795528.49,13690217333.27,15751867489.44,17247179005.52,17391056369.23,17260364842.45,17649751243.78,19152238805.97,20082918739.64,21159827992.06,21497336498.95,22022709851.55,24827355014.64,29118916105.62,35399582928.62,38443907042.30,39927125961.21,44035991893.02,46909335550.61,48133414840.41,50065946086.17,51389318290.86,53324800958.61,55276157552.25,51953744507.41,31735217784.54
Estonia,EST,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4502970889.06,4786018988.16,5154420649.23,5674080542.89,5756912265.76,5686579747.54,6254649538.98,7367975887.73,9874013098.46,12145911801.24,14106790200.22,17022870405.22,22449129482.62,24341678628.97,19633031397.61,19523477325.62,23183616045.52,23020466784.61,25108615091.99,26598657880.55,22881558191.85,24056487770.90,26857880621.94,30474612057.45,31045591753.49,30650285471.72
Cambodia,KHM,GDP (current US$),NY.GDP.MKTP.CD,637142865.71,642857134.29,660000008.57,728571437.14,782857128.57,868571428.57,914285714.29,962857134.29,1065714248.57,978873232.39,718401157.72,969911421.39,505549441.38,702899155.98,588443893.69,,,,,,,,,,,,,,,,,,,2533727592.04,2791435272.27,3441205692.92,3506695719.57,3443413388.69,3120425502.58,3517242477.23,3654031716.27,3984000517.02,4284028482.54,4658246918.27,5337833248.04,6293046161.83,7274595706.67,8639235842.18,10351914093.17,10401851850.61,11242275198.98,12829541141.01,14054443213.46,15227991395.22,16702610842.40,18049954289.42,20016747754.02,22177200511.58,24571753583.49,27089389786.98,25808561550.95
"Macao SAR, China",MAC,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,1142503774.62,1133008225.93,1304353236.93,1362079311.90,1532097039.88,1957726784.69,2288759545.31,2705659766.74,3246477995.26,3765226190.92,4914391079.11,5665570560.77,6311194301.72,7046110595.15,7176892950.39,7267563602.62,6797764074.80,6547629474.84,6774193548.39,6860272608.45,7371723056.24,8246521717.45,10643215078.16,12160002995.84,14874147024.27,18439876056.20,21027044550.57,21587740941.60,28241858488.92,36845925519.44,43189526777.56,51536304807.68,54903031137.71,45047964934.25,45070605746.02,50440941938.70,55284360483.12,55204758069.51,25586111076.34
Libya,LBY,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28901836158.19,31995012468.83,33881392045.45,30657030223.39,28607921928.82,25544128199.00,27884615384.62,30698633109.13,27249786142.00,35976714100.91,38270206950.41,34110064452.16,20481889763.78,26265625000.00,33122307692.31,47334148578.42,54961936662.61,67516236337.72,87140405361.23,63028320702.03,74773444900.54,34699395523.61,81873662518.82,65502870173.78,41142722414.34,27842131479.87,26197143268.12,37883243650.45,52607888717.95,52091152228.34,25418916028.90
Papua New Guinea,PNG,GDP (current US$),NY.GDP.MKTP.CD,230496032.98,244832035.03,261184037.37,275968039.49,305312043.69,344159480.34,390973233.28,441706910.07,485160824.28,551237316.61,645537126.22,717716130.49,858802035.93,1299105240.73,1467346060.00,1356591176.86,1511856584.26,1640763204.45,1947947524.33,2293621944.37,2545983007.90,2498068350.67,2368584969.53,2562492524.82,2552526263.08,2423373088.07,2648033765.70,3143848331.31,3655979702.46,3546460176.99,3219730365.00,3787394957.98,4377980510.06,4974550286.18,5502786069.65,4636057476.43,5155311077.39,4936615298.79,3789443014.62,3477038204.02,3521339699.07,3081024212.43,2999511040.20,3536411824.30,3927157866.96,4865892972.28,8355006706.58,9545177014.13,11670840931.82,11619637798.99,14250755231.13,17984910501.90,21295659243.62,21261432791.27,23210682538.39,21723531173.24,20759069103.10,22742613553.69,24109509852.74,24751344552.21,24668899683.43
